n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
30,3,0.0,cosine,75,5,euclidean,eom,True,144,0.0945,0.5861,0.6694,0.5771428571428571,0.5368450546371532,0.6300512236767216,0.5813463784855774,0.6035970404097893
30,3,0.0,cosine,75,10,euclidean,eom,True,124,0.0919,0.5661,0.7031,0.5657142857142856,0.48080694872513324,0.7259533295389867,0.5908248546594685,0.6458338076266361
30,3,0.0,cosine,75,20,euclidean,eom,True,123,0.0928,0.5764,0.6937,0.5696703296703296,0.5096665732698236,0.699203187250996,0.592846696730383,0.6344367584606627
30,3,0.0,cosine,100,5,euclidean,eom,True,116,0.0958,0.6026,0.6891,0.5828571428571429,0.58307649201457,0.6861126920887878,0.6173487756535002,0.6344849174729653
30,3,0.0,cosine,100,10,euclidean,eom,True,108,0.0983,0.5815,0.7089,0.5938461538461538,0.5239562902773887,0.7424587364826408,0.6200870602020611,0.6681524451643973
30,3,0.0,cosine,100,20,euclidean,eom,True,109,0.0996,0.5991,0.7009,0.5995604395604395,0.5732698234799664,0.7196926579396697,0.6308409736600251,0.6596265487500546
30,3,0.0,cosine,150,5,euclidean,eom,True,78,0.0936,0.6256,0.7216,0.5731868131868132,0.6475203138133933,0.7785998861696073,0.6664356710566045,0.6758933496782102
30,3,0.0,cosine,150,10,euclidean,eom,True,83,0.0868,0.6301,0.7179,0.5432967032967033,0.6601288876435977,0.7680705748434832,0.6571653885945947,0.6556836390700933
30,3,0.0,cosine,150,20,euclidean,eom,True,72,0.0865,0.6139,0.716,0.5419780219780219,0.6147380218548614,0.7626636311895275,0.6397932250074704,0.6523208265837748
30,3,0.0,cosine,200,5,euclidean,eom,True,68,0.1528,0.6838,0.7057,0.8334065934065933,0.8105912020173718,0.7333523050654525,0.7924500334964725,0.7833794492360229
30,3,0.0,cosine,200,10,euclidean,eom,True,63,0.1451,0.6873,0.7043,0.7995604395604395,0.8203978705519755,0.7293682413204327,0.7831088504776159,0.7644643404404361
30,3,0.0,cosine,200,20,euclidean,eom,True,62,0.1086,0.6597,0.7121,0.6391208791208791,0.7430652843933875,0.7515651678998291,0.7112504438046985,0.6953430235103542
30,5,0.0,cosine,10,5,euclidean,eom,True,738,0.1025,0.6978,0.5012,0.6123076923076922,0.849817876155786,0.1513944223107569,0.537839996924745,0.38185105730922453
